,CUSTOMER_ID,RECENCY,FIRST_PURCHASE,FREQUENCY,MONETARY
1,Cust1,108,526,4,57.5
2,Cust2,25,617,32,117.5
3,Cust3,7,611,9,300
4,Cust4,187,595,8,1300
5,Cust5,176,563,14,535.7142857
6,Cust6,4,591,34,10.29411765
7,Cust7,1,609,86,11.86046512
8,Cust8,410,623,22,286.3636364
9,Cust9,5,554,44,32.5
10,Cust10,13,623,20,97.5
11,Cust11,0,629,92,109.673913
12,Cust12,269,628,5,540
13,Cust13,34,613,30,85.33333333
14,Cust14,22,591,18,361.1111111
15,Cust15,2,495,67,93.43283582
16,Cust16,24,446,29,52.06896552
17,Cust17,141,617,12,11.66666667
18,Cust18,7,110,13,23.07692308
19,Cust19,1,621,145,28
20,Cust20,2,604,82,67.68292683
21,Cust21,174,174,1,600
22,Cust22,538,585,5,100
23,Cust23,201,560,5,110
24,Cust24,540,629,13,280.7692308
25,Cust25,79,582,9,73.33333333
26,Cust26,50,625,17,95.29411765
27,Cust27,2,627,45,190
28,Cust28,7,628,55,83.45454545
29,Cust29,38,613,18,20
30,Cust30,3,589,19,452.6315789
31,Cust31,15,45,3,20
32,Cust32,1,116,42,13.57142857
33,Cust33,350,628,7,11.42857143
34,Cust34,390,587,7,12.85714286
35,Cust35,2,529,69,18.69565217
36,Cust36,13,608,18,21.11111111
37,Cust37,5,589,33,237.5757576
38,Cust38,9,629,30,443.3333333
39,Cust39,362,528,10,87
40,Cust40,5,156,23,113.0434783
41,Cust41,2,629,96,21.45833333
42,Cust42,8,618,129,631.0077519
43,Cust43,6,273,34,200.5882353
44,Cust44,14,619,18,405.5555556
45,Cust45,227,566,4,275
46,Cust46,206,600,5,150
47,Cust47,21,628,41,451.2195122
48,Cust48,4,588,38,18.94736842
49,Cust49,8,626,71,74.08450704
50,Cust50,0,145,59,17.28813559
51,Cust51,5,463,42,11.66666667
52,Cust52,9,112,31,12.90322581
53,Cust53,71,590,8,356.25
54,Cust54,3,389,97,12.06185567
55,Cust55,59,616,18,222.2222222
56,Cust56,81,568,25,146
57,Cust57,212,625,15,34
58,Cust58,232,579,7,24.28571429
59,Cust59,0,114,29,24.48275862
60,Cust60,76,399,47,147.8723404
61,Cust61,0,327,25,81.6
62,Cust62,1,608,142,112.0422535
63,Cust63,20,114,3,63.33333333
64,Cust64,18,629,9,355.5555556
65,Cust65,10,585,20,70.5
66,Cust66,7,37,2,50
67,Cust67,15,531,16,209.375
68,Cust68,7,621,20,600
69,Cust69,2,627,91,99.56043956
70,Cust70,76,604,20,230
71,Cust71,460,460,1,10
72,Cust72,27,609,41,63.41463415
73,Cust73,2,604,35,640
74,Cust74,73,591,16,513.75
75,Cust75,403,501,26,52.69230769
76,Cust76,277,277,1,10
77,Cust77,50,617,17,567.6470588
78,Cust78,12,571,26,98.46153846
79,Cust79,26,108,45,20.22222222
80,Cust80,284,619,7,171.4285714
81,Cust81,567,567,1,100
82,Cust82,15,254,60,20.5
83,Cust83,7,563,13,12.30769231
84,Cust84,3,114,43,17.90697674
